FC,Oxy,pH,TSS,Temp,TPN,TP,Turb
91,85,95,78,81,99,84,69
78,84,77,85,90,99,72,80
90,79,88,61,90,98,71,49
88,80,88,75,95,100,79,71
93,86,96,84,90,100,84,87
94,85,98,100,83,100,90,98
89,84,94,88,84,100,83,86
88,85,93,73,86,100,72,67
84,80,92,56,68,100,45,46
74,82,92,53,82,98,60,50
85,84,82,92,88,100,99,90
80,88,83,92,86,100,95,89
89,87,75,85,94,100,88,78
88,87,90,90,90,100,91,86
93,85,95,79,88,100,78,74
94,91,96,48,88,100,46,44
80,92,96,94,88,100,97,91
81,92,97,90,90,100,95,89
98,92,95,100,94,100,98,100
97,94,90,79,85,98,89,81
97,92,90,87,91,100,68,84
90,91,74,70,96,96,58,61
96,89,90,75,92,99,71,84
99,94,95,72,99,98,84,74
100,95,90,77,97,99,94,82
92,92,96,92,90,97,99,97
91,92,95,83,91,99,91,85
96,91,90,75,91,98,92,79
92,89,94,49,84,98,63,48
97,89,86,80,90,96,99,86
92,93,78,76,91,97,97,79
87,95,83,73,90,98,88,73
97,94,74,78,94,97,94,77
93,92,83,88,93,98,100,90
97,87,96,70,93,99,80,67
99,98,95,71,93,99,86,74
99,97,87,86,94,98,100,88
94,95,94,85,94,97,100,90
98,99,87,100,98,99,100,100
83,93,95,72,84,44,81,87
71,91,95,83,78,53,96,91
69,87,95,77,83,36,91,82
79,92,96,89,83,56,92,91
85,86,96,73,67,57,77,81
74,92,94,62,80,47,56,57
79,94,95,62,82,42,64,70
75,90,97,88,74,51,79,90
82,93,96,82,80,52,81,87
80,94,94,81,86,74,95,86
88,92,90,86,80,78,100,93
71,92,93,87,85,70,100,82
84,95,92,88,84,77,97,92
88,87,92,86,68,79,98,91
82,94,92,72,82,72,73,74
85,94,90,70,83,68,81,77
86,93,96,85,73,77,91,90
79,95,95,83,83,73,82,87
73,94,85,86,88,82,100,87
80,91,91,82,82,82,100,89
81,93,92,89,87,80,100,87
81,94,93,92,87,81,100,94
88,91,92,88,82,78,91,88
76,94,88,75,90,80,84,78
85,95,94,70,88,74,76,75
82,93,93,89,85,81,94,93
79,94,93,85,87,79,95,88
94,89,88,72,85,96,74,71
89,95,90,43,84,86,52,30
77,91,94,40,82,88,48,51
75,92,96,44,83,92,58,35
76,93,92,20,91,82,26,29
88,93,94,46,91,93,56,60
44,91,99,71,81,93,76,83
85,93,95,34,86,90,32,57
89,93,97,51,81,97,58,68
85,93,89,37,82,93,45,57
86,92,95,29,84,85,32,49
93,93,97,60,84,92,75,75
82,94,92,24,81,93,38,39
90,95,98,32,86,96,33,41
93,92,96,51,74,93,50,61
80,93,97,53,87,95,67,69
82,96,95,43,90,92,48,63
81,93,98,51,86,97,69,76
83,93,97,67,87,97,78,82
90,89,88,95,77,93,91,98
90,88,96,66,76,77,76,66
94,89,83,90,81,79,64,90
93,81,86,85,64,82,73,85
91,87,91,63,82,73,61,68
90,91,91,91,84,85,73,94
79,87,84,87,70,87,79,92
84,84,96,91,83,76,76,93
90,80,97,95,71,77,73,97
81,79,94,74,73,77,80,79
89,82,94,86,73,72,94,90
93,75,94,95,72,75,90,98
81,89,91,70,76,77,78,75
88,95,85,90,85,80,88,91
97,80,94,93,77,77,89,95
91,90,90,86,80,80,79,86
91,92,94,85,85,74,89,87
89,92,88,88,78,85,85,92
83,89,96,93,82,83,88,95
79,80,86,83,65,76,88,87
73,73,90,85,52,73,81,85
86,76,90,96,63,80,66,93
84,81,90,93,38,87,79,96
94,74,91,78,60,79,77,79
88,74,91,90,67,82,90,97
74,78,92,95,56,82,70,94
74,78,96,82,73,69,88,88
86,76,88,99,57,84,90,100
79,71,92,84,60,81,96,90
88,77,92,96,61,78,100,95
96,69,92,99,58,83,100,100
72,78,91,90,52,83,100,92
92,86,91,98,67,86,99,98
90,74,98,99,62,84,96,98
83,83,94,93,68,83,95,93
91,84,97,93,70,82,97,93
89,80,96,91,64,87,95,94
86,85,95,99,69,81,99,97
98,89,74,87,79,92,85,80
90,91,80,75,80,92,81,64
93,88,86,81,79,90,73,68
98,92,77,77,68,94,80,81
100,91,80,89,85,93,78,81
99,92,83,85,86,94,88,84
100,88,75,83,73,95,91,90
100,88,82,90,78,92,88,87
99,85,83,87,74,94,83,79
100,86,87,93,71,94,97,91
100,91,77,94,73,96,98,92
99,89,88,94,74,94,93,87
97,86,86,92,73,95,92,85
100,89,81,93,77,94,91,89
100,87,83,91,78,94,91,87
100,90,82,93,74,94,92,91
97,87,85,88,77,95,87,80
100,88,81,88,78,94,90,85
93,81,87,92,72,95,92,91
67,78,88,46,83,77,55,55
72,78,83,48,61,74,59,45
67,89,70,50,58,75,60,54
76,80,77,64,73,77,62,65
74,90,77,44,72,77,61,60
82,93,74,46,75,82,62,62
93,51,82,78,56,79,58,76
87,92,69,49,58,82,57,55
86,93,73,61,64,79,62,64
94,89,71,69,56,81,62,75
97,98,54,84,52,81,61,85
86,90,69,50,54,81,63,62
88,95,63,62,37,83,65,65
75,89,73,50,77,81,56,53
83,87,71,50,77,81,64,59
90,95,69,65,62,83,69,71
80,91,73,48,66,81,67,58
80,89,75,48,56,83,66,63
85,93,68,55,58,80,64,60
83,89,86,73,98,95,74,67
79,85,83,59,96,95,70,51
83,93,74,59,85,87,60,60
77,89,86,72,90,95,73,69
80,94,77,56,99,94,68,59
83,95,54,63,94,97,78,68
86,93,65,89,75,96,79,86
90,95,63,83,97,96,80,80
87,94,68,82,86,94,78,80
93,94,65,74,79,96,85,78
87,95,55,86,84,96,84,85
87,95,65,78,91,95,81,72
88,92,85,78,90,96,84,75
91,91,72,77,90,96,82,72
87,92,63,74,87,97,77,71
94,94,73,88,95,96,83,86
86,88,80,68,100,97,80,66
78,87,78,74,97,97,81,74
85,91,77,73,85,97,79,69
0,93,63,89,72,0,0,61
0,91,67,0,89,0,0,52
100,90,75,85,78,98,86,72
99,98,79,87,93,98,92,86
90,94,60,67,77,99,79,67
86,93,86,60,86,98,80,64
84,90,79,78,76,99,87,79
78,90,64,71,69,98,83,67
96,100,67,87,100,99,90,84
78,72,90,68,80,84,81,67
90,78,77,55,79,85,66,41
87,77,86,51,83,80,26,50
92,72,86,68,79,91,35,72
96,80,86,66,84,81,73,59
88,79,83,52,85,80,80,53
88,62,88,61,65,95,82,68
95,80,87,74,78,95,82,74
89,74,97,66,80,90,75,68
88,72,94,65,75,92,100,68
84,71,92,64,76,94,100,67
90,79,87,68,85,78,100,67
88,73,96,70,82,93,96,63
93,72,98,65,87,95,93,63
93,74,92,56,75,94,68,50
86,77,96,69,76,99,89,64
88,77,93,60,77,96,75,51
89,80,96,66,84,100,86,63
90,70,92,71,68,94,82,64
50,90,83,70,83,60,59,66
78,89,70,43,80,49,49,35
82,83,83,51,89,63,44,41
52,89,67,72,89,68,46,74
74,89,83,39,94,31,35,35
76,93,80,70,94,44,40,66
95,87,87,73,90,21,53,73
86,89,87,50,90,35,40,47
44,88,88,73,98,31,49,68
87,82,91,76,94,48,70,79
81,86,91,78,93,26,61,81
75,84,84,54,97,16,56,49
84,88,84,66,88,1,71,53
83,90,83,68,81,23,58,64
93,91,83,55,93,2,52,53
73,87,84,75,86,15,57,78
66,93,84,53,95,10,55,50
59,86,81,70,79,32,87,73
91,94,81,78,82,17,86,68
86,72,70,43,72,100,75,52
81,74,74,37,79,98,54,39
89,70,83,41,53,100,40,47
81,73,83,46,28,100,52,51
90,78,80,46,60,99,74,58
85,75,74,51,59,100,88,60
86,75,73,60,51,100,80,74
95,72,76,52,58,100,82,65
91,72,74,42,57,99,82,61
84,69,80,49,43,100,98,65
94,75,72,58,54,100,100,74
91,73,70,33,57,99,82,47
96,70,75,56,55,100,100,68
88,73,79,43,61,99,77,58
87,67,78,49,43,100,65,61
94,76,81,75,57,100,92,80
89,77,81,41,65,100,69,54
82,81,75,42,65,99,73,53
90,77,77,36,49,100,66,54
78,80,83,77,71,100,99,83
77,82,86,71,82,100,100,69
90,86,91,55,67,100,59,58
83,74,83,73,69,100,68,79
